Variable,Level,RMSE,MAE,BIAS,ACC,RelDiff (%),Pred_Min,Pred_Max,Ref_Min,Ref_Max
u,9000.0,9.970287322998047,7.877920150756836,3.051969051361084,0.8659442663192749,75.93976593017578,-54.62260437011719,75.0,-50.62257385253906,87.70721435546875
u,10000.0,10.0874605178833,7.950769901275635,2.790093183517456,0.869112491607666,68.11006164550781,-49.9161491394043,75.0,-49.66781234741211,94.87244415283203
u,11500.0,10.92506217956543,8.771790504455566,3.2355494499206543,0.8571725487709045,66.0155029296875,-35.058799743652344,75.0,-26.132450103759766,88.81796264648438
u,13000.0,12.990808486938477,10.576340675354004,4.356451511383057,0.8031187057495117,76.99229431152344,-25.819326400756836,75.0,-26.68503189086914,86.56370544433594
u,15000.0,12.431694030761719,9.864574432373047,4.38833475112915,0.7366084456443787,86.28911590576172,-24.36716079711914,75.0,-24.683757781982422,68.85115051269531
u,17500.0,15.097031593322754,11.658854484558105,7.574649333953857,0.567240297794342,174.94448852539062,-25.98981475830078,73.35087585449219,-17.666213989257812,45.38737106323242
u,20000.0,15.173235893249512,12.143318176269531,7.513513565063477,0.544395387172699,251.71945190429688,-27.012065887451172,59.25166320800781,-16.677518844604492,51.67938232421875
v,2.0,6.804999828338623,5.307656764984131,-1.6996268033981323,0.6885063052177429,1393.420654296875,-40.40113830566406,42.7919807434082,-24.486543655395508,26.831249237060547
v,10.0,6.770596027374268,5.282522678375244,-1.6964186429977417,0.690787672996521,1385.8270263671875,-40.26532745361328,42.79963684082031,-24.6944580078125,27.020328521728516
v,20.0,6.7276740074157715,5.251078128814697,-1.6925143003463745,0.6935901641845703,1376.397216796875,-40.09516906738281,42.80894470214844,-24.954349517822266,27.25667381286621
v,50.0,6.600133895874023,5.157280921936035,-1.6813937425613403,0.7016289830207825,1348.371826171875,-39.58184814453125,42.83528518676758,-25.734027862548828,27.965715408325195
v,75.0,6.496561050415039,5.081116676330566,-1.6743453741073608,0.70777827501297,1325.72265625,-39.150691986083984,42.852508544921875,-26.383760452270508,28.599395751953125
v,100.0,6.393819808959961,5.005957126617432,-1.672041893005371,0.7138184309005737,1303.96142578125,-38.71624755859375,42.865081787109375,-27.033491134643555,29.244169235229492
v,150.0,6.1826372146606445,4.852067470550537,-1.6723729372024536,0.7262653708457947,1264.8079833984375,-37.8369026184082,42.87306213378906,-27.48391342163086,30.533714294433594
v,200.0,5.986168384552002,4.7076263427734375,-1.6770373582839966,0.7374627590179443,1238.007080078125,-36.943180084228516,42.85702896118164,-27.856449127197266,31.82326316833496
v,300.0,5.628385066986084,4.44279670715332,-1.7042334079742432,0.7579663991928101,1210.4925537109375,-35.11376953125,42.78008270263672,-28.601526260375977,34.032798767089844
v,400.0,5.283876895904541,4.186303615570068,-1.7197026014328003,0.7795665264129639,1176.1492919921875,-33.4832878112793,42.67587661743164,-28.796388626098633,35.254859924316406
v,500.0,4.9588751792907715,3.944931745529175,-1.72458016872406,0.8001804351806641,1135.1866455078125,-32.59815979003906,42.55191421508789,-28.90876007080078,36.77949142456055
v,750.0,4.2296013832092285,3.4182727336883545,-1.7311577796936035,0.8447040319442749,1053.2537841796875,-30.88625144958496,42.149696350097656,-29.96448516845703,40.77189254760742
v,1000.0,3.7486777305603027,3.088888645172119,-1.7319974899291992,0.8720760941505432,1044.0645751953125,-29.898683547973633,41.972816467285156,-31.072154998779297,43.70829772949219
v,1250.0,3.4467201232910156,2.8516063690185547,-1.6618335247039795,0.8871495127677917,1153.723388671875,-29.01105499267578,43.785057067871094,-30.086383819580078,47.70105743408203
v,1500.0,3.258622884750366,2.665065050125122,-1.5188838243484497,0.8927167057991028,1361.6239013671875,-26.889625549316406,44.042057037353516,-29.55338478088379,46.53370666503906
v,2000.0,3.091538667678833,2.511857748031616,-1.3329346179962158,0.8970256447792053,2087.112060546875,-25.682252883911133,39.79167938232422,-30.362028121948242,41.770843505859375
v,2500.0,3.0930967330932617,2.5185389518737793,-1.2927742004394531,0.9018539190292358,2607.987548828125,-26.189010620117188,37.382591247558594,-30.3546085357666,39.84138107299805
v,3000.0,3.154639959335327,2.580185651779175,-1.2529280185699463,0.9048836827278137,2958.739990234375,-26.263534545898438,37.55479431152344,-29.107229232788086,39.15541076660156
v,3500.0,3.236405611038208,2.651918649673462,-1.254918098449707,0.9083146452903748,3082.4912109375,-26.783180236816406,38.976051330566406,-29.7164363861084,37.76713562011719
v,4000.0,3.4022371768951416,2.791832685470581,-1.3447747230529785,0.9101917743682861,3112.32177734375,-29.38649559020996,39.714237213134766,-29.778533935546875,40.90099334716797
v,4500.0,3.5946993827819824,2.955259323120117,-1.4344265460968018,0.9115134477615356,3473.1884765625,-32.406009674072266,38.86667251586914,-33.83037185668945,42.063316345214844
v,5000.0,3.861650228500366,3.1761281490325928,-1.4271109104156494,0.9086246490478516,4496.57763671875,-35.13313674926758,40.65378189086914,-38.0096435546875,42.424442291259766
v,6000.0,4.460759162902832,3.6090688705444336,-1.4717960357666016,0.9050201773643494,4730.65087890625,-40.8609504699707,44.94455337524414,-42.22602844238281,48.908935546875
v,7000.0,5.357982635498047,4.294785022735596,-1.4039170742034912,0.8904589414596558,25147.439453125,-46.20233154296875,53.343814849853516,-44.97574234008789,58.57512664794922
v,8000.0,5.994833469390869,4.785741806030273,-1.6270904541015625,0.8925841450691223,31318.69140625,-54.43798828125,63.334529876708984,-50.266536712646484,67.44267272949219
v,9000.0,5.847151756286621,4.786584854125977,-2.3803765773773193,0.9210207462310791,5551.22021484375,-58.78763961791992,65.13511657714844,-59.50568389892578,63.454124450683594
